State,Year,GDP
New Jersey,2019,643317700000.0
New Jersey,2020,632562300000.0
New Jersey,2021,693733800000.0
New Jersey,2022,756465600000.0
New Jersey,2023,806894000000.0
New Jersey,2024,846000400000.0
New Mexico,1997,52575600000.0
New Mexico,1998,50573100000.0
New Mexico,1999,52801900000.0
New Mexico,2000,55002200000.0
New Mexico,2001,55660200000.0
New Mexico,2002,57718300000.0
New Mexico,2003,62867900000.0
New Mexico,2004,70593400000.0
New Mexico,2005,74130900000.0
New Mexico,2006,78008200000.0
New Mexico,2007,81100300000.0
New Mexico,2008,84339700000.0
New Mexico,2009,82641300000.0
New Mexico,2010,84862600000.0
New Mexico,2011,87056000000.0
New Mexico,2012,87681000000.0
New Mexico,2013,88773300000.0
New Mexico,2014,92523400000.0
New Mexico,2015,90779400000.0
New Mexico,2016,90476000000.0
New Mexico,2017,93210100000.0
New Mexico,2018,98838200000.0
New Mexico,2019,103821000000.0
New Mexico,2020,101035500000.0
New Mexico,2021,113781700000.0
New Mexico,2022,129469100000.0
New Mexico,2023,138526000000.0
New Mexico,2024,147084900000.0
New York,1997,716104700000.0
New York,1998,744958900000.0
New York,1999,794009500000.0
New York,2000,839853000000.0
New York,2001,876285200000.0
New York,2002,885386200000.0
New York,2003,908535200000.0
New York,2004,958565300000.0
New York,2005,1009851000000.0
New York,2006,1072271800000.0
New York,2007,1116265300000.0
New York,2008,1107860200000.0
New York,2009,1155492300000.0
