state,year,residual
Missouri,2016,1493.7904037551853
Missouri,2017,1154.8572034052777
Missouri,2018,1110.0371537042665
Missouri,2019,881.8660179863655
Missouri,2020,2412.5702792188386
Missouri,2021,2428.5797296430173
Missouri,2022,137.21646454757138
Missouri,2023,-566.9864813876484
Missouri,2024,-994.9121388426283
Montana,2008,-276.59866924044036
Montana,2009,-454.46025208714855
Montana,2010,134.04397353394597
Montana,2011,-444.29248086673033
Montana,2012,446.5431996324769
Montana,2013,-45.23167992119852
Montana,2014,-820.065089552234
Montana,2015,-135.40208896127297
Montana,2016,77.36624687947915
Montana,2017,175.65225910607114
Montana,2018,1058.8123057621124
Montana,2019,543.3237109392139
Montana,2020,3195.3724236409034
Montana,2021,3917.700332352091
Montana,2022,2084.8477457559347
Montana,2023,847.956169386438
Montana,2024,-2016.4790765511134
Nebraska,2008,5177.86774745876
Nebraska,2009,4141.529476363547
Nebraska,2010,3630.431139000306
Nebraska,2011,5627.831210223056
Nebraska,2012,4584.189294126481
Nebraska,2013,3877.7320553472746
Nebraska,2014,4493.687066869388
Nebraska,2015,5648.641624217853
Nebraska,2016,4771.303262287911
Nebraska,2017,4897.833571925956
Nebraska,2018,3562.814849134469
Nebraska,2019,3401.153846907502
Nebraska,2020,4304.48039309778
Nebraska,2021,5503.769221200913
Nebraska,2022,4061.8172072247835
Nebraska,2023,3308.926266698385
Nebraska,2024,2175.119031919021
Nevada,2008,-1557.629934449411
Nevada,2009,-3546.2142288158866
Nevada,2010,-2723.028098142895
Nevada,2011,-3629.894862181609
Nevada,2012,-3596.2849379718245
Nevada,2013,-3597.4507108282414
Nevada,2014,-3018.1052601770207
Nevada,2015,-1501.368552884138
Nevada,2016,-827.8646906019567
Nevada,2017,-1819.909679079843
Nevada,2018,43.9526304446772
Nevada,2019,-845.3172968100844
Nevada,2020,684.4922996721725
Nevada,2021,2144.747773367606
Nevada,2022,-1489.9399487193878
Nevada,2023,-3222.222327556912
Nevada,2024,-5027.041650580111
New Hampshire,2008,64.56637332557875
New Hampshire,2009,355.06932726049854
New Hampshire,2010,982.0373353737159
New Hampshire,2011,1053.535289786072
New Hampshire,2012,1158.1256736918294
New Hampshire,2013,404.6288092962059
New Hampshire,2014,763.3979626494984
New Hampshire,2015,691.9688062512287
New Hampshire,2016,252.6717049627914
New Hampshire,2017,-130.14816306877037
New Hampshire,2018,890.3168911095272
New Hampshire,2019,1202.4647586870124
New Hampshire,2020,1190.7649483561545
New Hampshire,2021,2498.9939746957534
New Hampshire,2022,-4332.409188520294
New Hampshire,2023,-4272.002846088813
New Hampshire,2024,-4256.450816113298
New Jersey,2008,2321.3712427894643
New Jersey,2009,10.68143150373362
